hh,ctotal,ctotal_dur,ctotal_gift,ctotal_dur_gift,ctotal_nogift,ctotal_dur_nogift,ctotal_own,ctotal_dur_own,cfood,cnodur,cdur
H03704-04-01,1510.3850569602882,1510.3850569602882,633.9658818117508,633.9658818117508,414.08795890045576,414.08795890045576,462.3312162480817,462.3312162480817,1284.4767268805401,225.90833007974828,0.0
H03705-04-01,1896.4084286537118,2391.211068116542,194.82853928848928,194.82853928848928,1106.5797154111694,1106.5797154111694,618.1940476788731,618.1940476788731,821.1404427710495,1075.2679858826623,494.8026394628299
H03706-04-01,1718.356791359509,1719.1299204836696,113.64998125161874,113.64998125161874,559.4362342426621,559.4362342426621,1189.072592959113,1189.072592959113,1370.912562961703,347.4442283978059,0.7731291241606717
H03707-04-01,2960.9299197105406,2968.6612109521475,324.7142321474821,324.7142321474821,1806.0296340393293,1806.0296340393293,969.3492958726503,969.3492958726503,1640.270749819281,1320.6591698912594,7.731291241606717
H03707-04-02,844.7208810579499,844.7208810579499,166.9958908187051,166.9958908187051,677.7249902392448,677.7249902392448,0.0,0.0,542.7366451607916,301.9842358971584,0.0
H03709-04-01,973.67881896795,1089.6481875920508,0.0,0.0,611.8543888607556,611.8543888607556,361.82443010719436,361.82443010719436,777.9225247304679,195.75629423748208,115.96936862410077
H03711-04-02,1741.7207534916445,1745.586399112448,298.118590276355,298.118590276355,1117.9601761188146,1117.9601761188146,418.41748199575557,418.41748199575557,698.9241908237304,1042.796562667914,3.8656456208033587
H03711-04-03,1524.4946634762205,1524.4946634762205,30.152035842266198,30.152035842266198,1369.714212819254,1369.714212819254,124.62841481470028,124.62841481470028,1057.833924132839,466.66073934338147,0.0
H03711-04-04,2642.400720556344,2642.400720556344,69.58162117446045,69.58162117446045,2572.8190993818835,2572.8190993818835,185.5509897985612,185.5509897985612,1177.9395335711995,1464.4611869851444,0.0
H03804-04-01,964.7105211276862,964.7105211276862,0.0,0.0,964.7105211276862,964.7105211276862,0.0,0.0,341.7230728790169,622.9874482486692,0.0
H03807-04-01,1962.394999400825,1975.9247590736368,567.322151309101,567.322151309101,942.7923104577311,942.7923104577311,637.8315274325541,637.8315274325541,1522.1752761037385,440.2197232970865,13.529759672811755
H03809-04-01,3812.14508541144,3955.1739733811646,111.33059387913673,111.33059387913673,3318.8887041969315,3318.8887041969315,1309.680736328178,1309.680736328178,1821.1829648728783,1990.9621205385617,143.02888796972428
H03810-04-01,1731.229391276784,1731.229391276784,86.74508773082736,86.74508773082736,1545.9876531278871,1545.9876531278871,423.2108825655517,423.2108825655517,1098.0366385891941,633.1927526875902,0.0
H03811-04-01,2276.478706091098,2462.0296958896593,672.6223380197844,672.6223380197844,1603.8563680713135,1603.8563680713135,0.0,0.0,1028.1844222212774,1248.2942838698207,185.5509897985612
H03813-04-01,1843.9129611232022,1843.9129611232022,23.19387372482015,23.19387372482015,1820.719087398382,1820.719087398382,0.0,0.0,1097.5341046584897,746.3788564647125,0.0
H03901-04-01,1086.632984007824,1086.632984007824,23.19387372482015,23.19387372482015,1063.4391102830039,1063.4391102830039,0.0,0.0,799.0289498200542,287.6040341877699,0.0
H03902-04-01,1356.3390789712744,1356.3390789712744,27.832648469784182,27.832648469784182,417.9149480650511,417.9149480650511,1021.9220763155759,1021.9220763155759,1091.0011635593319,265.33791541194256,0.0
H03903-04-01,2539.4972341305584,2585.8849815801987,524.1815461809355,524.1815461809355,1335.8898136372247,1335.8898136372247,679.4258743123983,679.4258743123983,1462.3737383499106,1077.1234957806478,46.3877474496403
H03906-04-01,789.5967745052941,789.5967745052941,148.44079183884898,148.44079183884898,580.8519109819126,580.8519109819126,106.6918191341727,106.6918191341727,543.7417130222004,245.8550614830936,0.0
H03907-04-01,3223.2526315382565,3223.2526315382565,346.6710992736452,346.6710992736452,2006.1927642845271,2006.1927642845271,1334.2662424764874,1334.2662424764874,1498.55618136063,1724.6964501776265,0.0
H03908-04-01,2275.666920510729,2275.666920510729,86.59046190599524,86.59046190599524,2166.9649656537385,2166.9649656537385,300.43797764883703,300.43797764883703,1276.9387179199734,998.7282025907557,0.0
H03909-04-01,2976.624440931002,2976.624440931002,225.1352009555876,225.1352009555876,1565.5091635129443,1565.5091635129443,1557.0820560595928,1557.0820560595928,1970.9380762228004,1005.6863647082018,0.0
H03909-04-02,6024.2994483723705,6051.358967717993,358.2680361360553,358.2680361360553,3015.6674617011163,3015.6674617011163,3207.0169199308825,3207.0169199308825,5064.536953639313,959.7624947330579,27.05951934562351
H03910-04-01,,,,,,,,,,,
