,wage_total,hh,bs_profit,other_inc,
141,,H04202-04-01,243.5356741106116,0.0,0.0
142,,H04203-04-01,77.31291241606718,0.0,0.0
143,41.74897270467628,H04204-04-01,92.7754948992806,0.0,0.0
144,,H04205-04-01,189.03007085728424,0.0,0.0
145,,H04206-04-01,3.8656456208033587,0.0,0.0
146,,H04207-04-01,231.16560812404086,120000.0,46.3877474496403
147,32.471423214748214,H04208-04-01,0.0,0.0,0.0
148,,H04208-04-02,88.90984927847725,0.0,0.0
149,,H04209-04-01,23.19387372482015,0.0,0.0
150,46.3877474496403,H04210-04-01,13.529759672811755,0.0,0.0
151,,H04501-04-01,17.395405293615113,0.0,0.0
152,,H04505-04-01,2060.38911588819,0.0,0.0
153,1252.4691811402881,H04508-04-02,50.253393070443664,0.0,0.0
154,278.3264846978418,H04508-04-03,123.70065986570748,0.0,0.0
155,2226.6118775827345,H04508-04-04,0.0,0.0,0.0
156,,H04509-04-01,668.756692398981,0.0,0.0
157,,H04602-04-01,0.0,0.0,0.0
158,,H04603-04-01,0.0,0.0,0.0
159,198.3076203472123,H04604-04-01,0.0,0.0,0.0
160,,H04606-04-01,150.76017921133098,0.0,0.0
161,,H04606-04-02,0.0,0.0,0.0
162,,H04607-04-01,0.0,0.0,0.0
163,,H04608-04-01,123.70065986570748,0.0,0.0
164,,H04609-04-01,0.0,0.0,0.0
165,,H04610-04-01,32.85798777682855,0.0,0.0
166,,H04610-04-02,27.05951934562351,0.0,0.0
167,,H04610-04-03,0.0,0.0,0.0
168,,H04801-04-01,104.37243176169068,0.0,0.0
169,121.7678370553058,H04802-04-01,0.0,0.0,0.0
170,,H04802-04-02,0.0,0.0,0.0
171,773.1291241606717,H04802-04-03,0.0,0.0,0.0
172,,H04803-04-02,81.17855803687053,0.0,0.0
173,,H04804-04-01,0.0,0.0,0.0
174,,H04805-04-01,173.95405293615113,0.0,0.0
175,,H04806-04-01,193.28228104016793,0.0,0.0
176,139.1632423489209,H04807-04-01,0.0,0.0,0.0
177,,H04808-04-01,162.35711607374105,0.0,0.0
178,,H04808-04-02,231.93873724820153,0.0,0.0
179,46.3877474496403,H04810-04-01,0.0,0.0,0.0
180,,H04903-04-01,0.0,0.0,0.0
181,,H04905-04-01,0.0,180000.0,69.58162117446045
182,37.110197959712245,H04907-04-01,13.529759672811755,0.0,0.0
183,,H04908-04-01,0.0,0.0,0.0
184,,H04909-04-01,0.0,0.0,0.0
185,,H04910-04-01,193.28228104016793,0.0,0.0
186,,H04912-04-01,34.790810587230226,0.0,0.0
187,,H04913-04-01,29.76547128018586,0.0,0.0
188,333.9917816374102,H04913-04-02,0.0,0.0,0.0
189,,H04913-04-03,,,
190,511.81148019436466,H04913-04-04,0.0,0.0,0.0
191,,H04913-04-05,0.0,0.0,0.0
192,,H04913-04-06,251.2669653522183,0.0,0.0
193,,H05002-04-01,0.0,0.0,0.0
194,306.159133167626,H05003-04-01,0.0,0.0,0.0
195,83.49794540935255,H05003-04-02,0.0,0.0,0.0
196,,H05004-04-01,0.0,0.0,0.0
197,,H05005-04-01,0.0,0.0,0.0
198,417.4897270467627,H05006-04-01,0.0,0.0,0.0
199,,H05007-04-01,0.0,0.0,0.0
200,,H05008-04-01,0.0,0.0,0.0
201,,H05009-04-01,0.0,0.0,0.0
202,,H05010-04-01,0.0,400000.0,154.62582483213436
203,67.26223380197844,H05101-04-01,0.0,0.0,0.0
204,,H05102-04-01,0.0,960000.0,371.1019795971224
205,,H05103-04-01,1.9328228104016794,0.0,0.0
206,92.7754948992806,H05104-04-01,0.0,0.0,0.0
207,,H05105-04-01,96.64114052008397,0.0,0.0
208,,H05106-04-01,0.0,0.0,0.0
209,77.31291241606718,H05107-04-01,0.0,0.0,0.0
210,,H05108-04-01,44.45492463923863,0.0,0.0
211,,H05109-04-01,0.0,0.0,0.0
212,,H05110-04-01,21.261050914418473,0.0,0.0
213,1252.4691811402881,H05301-04-01,289.9234215602519,0.0,0.0
214,,H05302-04-01,170.08840731534778,0.0,0.0
215,,H05303-04-01,0.0,0.0,0.0
216,,H05304-04-01,0.0,0.0,0.0
217,,H05305-04-01,0.0,0.0,0.0
218,,H05305-04-02,204.879217902578,0.0,0.0
219,,H05305-04-03,115.96936862410077,0.0,0.0
220,,H05305-04-05,239.67002848980823,0.0,0.0
221,,H05306-04-01,1.5462582483213434,0.0,0.0
222,185.5509897985612,H05306-04-02,0.0,0.0,0.0
223,,H05308-04-01,0.0,0.0,0.0
224,,H05309-04-01,0.0,0.0,0.0
225,,H05310-04-01,0.0,0.0,0.0
226,,H05310-04-02,0.0,0.0,0.0
227,,H05403-04-01,34.790810587230226,0.0,0.0
228,320.0754574025181,H05404-04-01,0.0,0.0,0.0
229,,H05405-04-01,0.0,0.0,0.0
230,779.3141571539571,H05406-04-01,0.0,0.0,0.0
231,,H05407-04-01,0.0,0.0,0.0
232,927.7549489928061,H05407-04-02,270.5951934562351,0.0,0.0
233,417.4897270467627,H05409-04-01,0.0,0.0,0.0
234,,H05410-04-01,0.0,0.0,0.0
235,,H05412-04-01,154.62582483213436,0.0,0.0
236,371.1019795971224,H05412-04-02,0.0,0.0,0.0
237,834.9794540935254,H05412-04-03,0.0,0.0,0.0
238,1391.632423489209,H05701-04-01,3.8656456208033587,0.0,0.0
239,,H05702-04-01,7.731291241606717,0.0,0.0
240,222.66118775827346,H05703-04-01,0.0,0.0,0.0
241,2589.9825659382504,H05704-04-01,0.0,0.0,0.0
242,,H05705-04-01,19.328228104016794,0.0,0.0
243,1159.6936862410075,H05706-04-01,57.98468431205038,0.0,0.0
244,293.78906718105526,H05707-04-01,0.0,0.0,0.0
245,135.29759672811755,H05709-04-01,0.0,0.0,0.0
246,,H05710-04-01,0.0,0.0,0.0
247,,H05711-04-01,42.522101828836945,0.0,0.0
248,927.7549489928061,H05711-04-02,77.31291241606718,0.0,0.0
249,,H05901-04-01,143.02888796972428,0.0,0.0
250,1639.033743220624,H05903-04-01,0.0,0.0,0.0
251,927.7549489928061,H05904-04-01,773.1291241606717,12000000.0,4638.77474496403
252,185.5509897985612,H05906-04-01,734.4726679526382,0.0,0.0
253,,H05906-04-02,0.0,0.0,0.0
254,3247.142321474821,H05910-04-01,0.0,3000000.0,1159.6936862410075
255,,H06001-04-01,143.02888796972428,0.0,0.0
256,1391.632423489209,H06005-04-01,270.5951934562351,0.0,0.0
257,2512.669653522183,H06006-04-01,684.2192748821944,0.0,0.0
258,,H06007-04-01,48.32057026004198,0.0,0.0
259,,H06008-04-01,0.0,0.0,0.0
260,11596.936862410075,H06009-04-01,0.0,3000000.0,1159.6936862410075
261,1461.2140446636695,H06010-04-01,0.0,0.0,0.0
262,,H06101-04-01,38.65645620803359,0.0,0.0
263,,H06102-04-01,9.664114052008397,0.0,0.0
264,,H06103-04-01,0.0,0.0,0.0
265,,H06104-04-01,0.0,0.0,0.0
266,773.1291241606717,H06104-04-02,0.0,0.0,0.0
267,1948.2853928848929,H06104-04-03,100.50678614088733,0.0,0.0
268,,H06105-04-01,431.0194867195745,0.0,0.0
269,,H06105-04-02,0.0,0.0,0.0
270,,H06107-04-01,177.8196985569545,0.0,0.0
271,,H06108-04-01,11.596936862410075,0.0,0.0
272,,H06109-04-01,57.98468431205038,0.0,0.0
273,,H06110-04-01,11.596936862410075,0.0,0.0
274,,H06201-04-01,0.0,0.0,0.0
275,,H06203-04-01,57.98468431205038,0.0,0.0
276,,H06207-04-01,0.0,0.0,0.0
277,,H06208-04-01,0.0,0.0,0.0
278,,H06209-04-01,0.0,0.0,0.0
279,1099.3896145564752,H06301-04-01,0.0,0.0,0.0
280,667.9835632748204,H06302-04-01,27.05951934562351,0.0,0.0
281,,H06303-04-01,0.0,0.0,0.0
282,247.40131973141496,H06303-04-02,0.0,0.0,0.0
283,939.3518858552162,H06303-04-03,0.0,0.0,0.0
284,463.87747449640307,H06305-04-01,0.0,0.0,0.0
285,,H06306-04-01,11.596936862410075,0.0,0.0
286,834.9794540935254,H06307-04-01,220.34180038579143,0.0,0.0
287,92.7754948992806,H06309-04-01,19.328228104016794,1800000.0,695.8162117446045
288,1001.9753449122305,H06310-04-01,208.74486352338135,1620000.0,626.2345905701441
289,,H06310-04-02,135.29759672811755,240000.0,92.7754948992806
290,1113.3059387913672,H06310-04-03,0.0,0.0,0.0
291,,H06401-04-01,0.0,0.0,0.0
292,,H06402-04-01,0.0,0.0,0.0
293,,H06403-04-01,0.0,0.0,0.0
294,,H06404-04-01,0.0,0.0,0.0
295,46.3877474496403,H06405-04-01,0.0,250000.0,96.64114052008397
296,,H06406-04-01,154.62582483213436,0.0,0.0
297,,H06408-04-01,231.93873724820153,0.0,0.0
298,,H06409-04-01,0.0,360000.0,139.1632423489209
299,,H06410-04-01,0.0,0.0,0.0
300,,H06411-04-01,77.31291241606718,0.0,0.0
301,1774.3313399487415,H06601-04-01,347.90810587230226,0.0,0.0
302,,H06602-04-01,0.0,0.0,0.0
303,,H06603-04-01,173.95405293615113,0.0,0.0
304,55.665296939568364,H06604-04-01,0.0,0.0,0.0
305,104.37243176169068,H06605-04-01,0.0,0.0,0.0
306,,H06606-04-01,0.0,0.0,0.0
