,hh,ctotal,inctotal,wtotal,sex,region,urban,classeduc
35,H03906-04-01,743.1435012102547,138.98013192123634,785.1285986545233,2.0,1.0,0.0,
36,H03907-04-01,3033.6233926325976,131767.4210570441,11026.3635029762,1.0,1.0,0.0,32.0
37,H03908-04-01,2126.297601244703,101.8559723370545,2352.800722707706,1.0,1.0,0.0,17.0
38,H03909-04-01,2781.245951027614,-52259.936242005424,960.2273136810618,1.0,1.0,0.0,15.0
39,H03909-04-02,5628.878879769947,788297.1971585859,4759.563439270575,1.0,1.0,0.0,15.0
40,H03910-04-01,,381.33846184462215,2555.4290932080166,2.0,1.0,0.0,34.0
41,H04001-04-01,1888.115773576985,391733.21976736997,1961.8657946382766,1.0,1.0,0.0,21.0
42,H04002-04-01,2013.181116909928,-85213.35455079903,1070.239563448047,1.0,1.0,0.0,
43,H04003-04-01,2189.885879286764,-17236.34260948301,2981.5102508641003,1.0,1.0,0.0,41.0
44,H04004-04-01,1313.9738827375202,1627.8832567585519,1886.2301119378644,2.0,1.0,1.0,51.0
45,H04005-04-01,1271.0355192282054,-2234.8111859391865,481.4637605417359,1.0,1.0,0.0,15.0
46,H04007-04-01,587.4760039038673,542579.0532136584,477.0322670864528,2.0,1.0,0.0,
47,H04010-04-01,2007.696323480612,-53215.4967375822,587.6219969465869,1.0,1.0,0.0,34.0
48,H04011-04-01,5239.276398559328,-949.9139738224334,5998.67114667482,1.0,1.0,1.0,21.0
49,H04201-04-01,3216.7858354975906,-61337.57514840927,863.2495070589123,2.0,1.0,0.0,31.0
50,H04202-04-01,2492.817830601422,-24921.865781853583,1753.193733517056,1.0,1.0,1.0,17.0
51,H04203-04-01,1625.7805593034293,4879.451589565523,2599.1277469116026,1.0,1.0,0.0,17.0
52,H04204-04-01,1340.2487172027493,10588.445652452863,2281.166039649611,1.0,1.0,0.0,16.0
53,H04205-04-01,3177.761614704,281273.49370814953,1621.3737782674586,1.0,1.0,0.0,12.0
54,H04206-04-01,452.303926713301,-12187.073174366144,287.05582221428125,1.0,1.0,0.0,16.0
55,H04207-04-01,4418.09800055636,486.44572083926823,8588.62357769863,1.0,1.0,0.0,16.0
56,H04208-04-01,636.3443921654499,422998.5124784885,70.34419301148681,1.0,1.0,1.0,17.0
57,H04208-04-02,1541.8364889763886,-4504.535491921975,236.6450800796685,1.0,1.0,0.0,16.0
58,H04209-04-01,3002.073714059452,-4058.5172342840133,607.8459755095142,2.0,1.0,0.0,17.0
59,H04210-04-01,1153.3895660123121,232.65039100335815,150.8043578045875,1.0,1.0,0.0,31.0
60,H04508-04-03,3616.977566582401,-51408.65773836225,5643.565307114693,2.0,1.0,1.0,15.0
61,H04509-04-01,2023.2390916560937,-52927.51387271244,4087.899513976466,1.0,1.0,0.0,16.0
62,H04602-04-01,1442.526178438753,74892.98080053434,268.5457994063831,2.0,1.0,0.0,
63,H04603-04-01,1135.8024489755373,-15565.192651258027,2567.7096005110657,1.0,1.0,0.0,13.0
64,H04604-04-01,1198.9037401048429,73700.87757822158,2591.870313630595,2.0,1.0,0.0,
65,H04606-04-01,1285.5885189336104,241.8356959576652,1471.854919409564,1.0,1.0,0.0,17.0
66,H04606-04-02,3394.6572908149183,124732.65293202766,3276.3671101752534,1.0,1.0,0.0,22.0
67,H04607-04-01,1310.8154903115767,224447.30145696804,357.6373551795164,2.0,1.0,0.0,
68,H04608-04-01,1546.4632166083952,550.0387330976915,8544.367534477055,1.0,1.0,0.0,16.0
69,H04609-04-01,1363.7516400355032,-15401.920110655716,155.71595932536422,2.0,1.0,0.0,32.0
70,H04610-04-01,869.3898514109587,-128927.86148659608,412.57452774524074,1.0,1.0,0.0,16.0
71,H04610-04-02,548.4257875865748,1887702.2201604536,42.20339084519217,1.0,1.0,0.0,15.0
72,H04610-04-03,659.5371286565894,539771.1509597331,54.209527895979605,1.0,1.0,0.0,16.0
73,H04801-04-01,1436.1463201117294,100.29159234137369,114.38365914846452,1.0,1.0,1.0,12.0
74,H04802-04-01,802.1277212970098,262.620733884369,88.70691149127352,1.0,1.0,0.0,
75,H04802-04-02,719.3225349376046,404.2918452770256,101.37932741859834,1.0,1.0,0.0,15.0
76,H04803-04-02,2343.527980891498,-144427.0373877307,9615.105067601062,2.0,1.0,0.0,
77,H04804-04-01,,91146.05931585502,14880.67491991776,2.0,1.0,0.0,16.0
78,H04805-04-01,904.3812640768838,148340.17418733542,1301.2285064729322,2.0,1.0,0.0,
79,H04806-04-01,2719.219852204617,726285.3644518866,13420.77198828032,1.0,1.0,0.0,33.0
80,H04807-04-01,209.55086355998702,344878.7966059182,248.16678688850862,1.0,1.0,0.0,16.0
81,H04808-04-01,2762.7771496083524,-35408.19975901078,3466.6484345443437,1.0,1.0,1.0,15.0
